ID,Título,Precio Unitario,Precio de costo,Stock disponible,Cantidad de ventas
1,La Isla del Destino,"R$45,00","R$28,00",39,240
2,El Enigma de la Oscuridad,"R$60,00","R$35,00",66,552
3,El Laberinto de los Secretos,"R$55,00","R$32,00",58,192
4,La Magia Perdida,"R$50,00","R$30,00",47,216
5,El Misterio de la Noche Estrellada,"R$40,00","R$25,00",36,216
6,La Venganza del Pasado,"R$60,00","R$35,00",57,264
7,El Secreto de la Biblioteca Prohibida,"R$45,00","R$28,00",55,312
8,Las Crónicas del Tiempo,"R$55,00","R$32,00",40,240
9,El Jardín de los Sueños,"R$70,00","R$40,00",58,288
10,El Portal de los Mundos,"R$45,00","R$28,00",39,144
11,El Círculo de los Destinos,"R$60,00","R$35,00",46,264
12,La Herencia del Hechicero,"R$55,00","R$32,00",61,240
13,El Despertar de las Sombras,"R$50,00","R$30,00",39,168
14,El Legado del Dragón,"R$40,00","R$25,00",39,240
15,El Secreto de la Rosa Negra,"R$60,00","R$35,00",58,336
16,El Enigma del Reloj de Arena,"R$45,00","R$28,00",38,240
17,La Trama de los Recuerdos,"R$55,00","R$32,00",48,312
18,El Guardián de los Secretos,"R$70,00","R$40,00",58,216
19,La Profecía del Destino,"R$45,00","R$28,00",47,312
20,La Magia de las Estrellas,"R$60,00","R$35,00",41,240
21,El Secreto del Espejo Encantado,"R$55,00","R$32,00",56,192
22,Las Aventuras del Viajero en el Tiempo,"R$50,00","R$30,00",38,216
23,El Viaje del Héroe,"R$40,00","R$25,00",47,288
24,El Misterio de las Siete Llaves,"R$60,00","R$35,00",44,192
25,El Tesoro Olvidado,"R$45,00","R$28,00",39,216
26,El Laberinto de las Ilusiones,"R$55,00","R$32,00",29,120
27,El Legado Perdido,"R$70,00","R$40,00",43,120
28,En Busca del Conocimiento,"R$45,00","R$28,00",41,240
29,La Sombra del Pasado,"R$60,00","R$35,00",38,264
30,La Llave del Portal Encantado,"R$55,00","R$32,00",59,216
